頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 223 ,TW0006927007,6927,聯合聚晶,興櫃 ,股票,半導體業,2023/05/26,ESVUFR,
 224 ,TW0006931009,6931,青松健康,興櫃 ,股票,生技醫療業,2022/12/27,ESVUFR,
 225 ,TW0006932007,6932,水星生醫*,興櫃 ,股票,生技醫療業,2022/12/23,ESVUFR,
 226 ,TW0006934003,6934,心誠鎂,興櫃 ,股票,生技醫療業,2024/06/25,ESVUFR,
 227 ,TW0006935000,6935,王子製藥,興櫃 ,股票,食品工業,2023/03/29,ESVUFR,
 228 ,TW0006936008,6936,永鴻生技,興櫃 ,股票,農業科技業,2023/03/24,ESVUFR,
 229 ,TW0006938004,6938,藍新資訊,興櫃 ,股票,資訊服務業,2024/01/23,ESVUFR,
 230 ,TW0006939002,6939,啟弘生技,興櫃 ,股票,生技醫療業,2023/05/15,ESVUFR,
 231 ,TW0006940000,6940,格斯科技*,興櫃 ,股票,電子零組件業,2023/05/12,ESVUFR,
 232 ,TW0006944002,6944,兆聯實業,興櫃 ,股票,綠能環保,2023/04/27,ESVUFR,
 233 ,TW0006945009,6945,圓祥生技,興櫃 ,股票,生技醫療業,2023/07/14,ESVUFR,
 234 ,TW0006947005,6947,台鎔科技,興櫃 ,股票,綠能環保,2023/07/21,ESVUFR,
 235 ,TW0006955008,6955,邦睿生技,興櫃 ,股票,生技醫療業,2023/07/25,ESVUFR,
 236 ,TW0006958002,6958,日盛台駿,興櫃 ,股票,其他業,2023/06/27,ESVUFR,
 237 ,TW0006959000,6959,兆捷科技,興櫃 ,股票,化學工業,2023/07/13,ESVUFR,
 238 ,TW0006961006,6961,旅天下,興櫃 ,股票,觀光餐旅,2023/07/31,ESVUFR,
 239 ,TW0006963002,6963,品元,興櫃 ,股票,食品工業,2023/06/28,ESVUFR,
 240 ,TW0006967003,6967,汎瑋材料,興櫃 ,股票,電子零組件業,2023/09/28,ESVUFR,
 241 ,TW0006968001,6968,萬達寵物,興櫃 ,股票,居家生活,2023/08/31,ESVUFR,
 242 ,TW0006971005,6971,惠民實業,興櫃 ,股票,綠能環保,2023/07/24,ESVUFR,
 243 ,TW0006973001,6973,永立榮,興櫃 ,股票,生技醫療業,2023/07/20,ESVUFR,
