頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 214 ,TW0002729001,2729,瓦城,上櫃 ,股票,觀光餐旅,2012/09/17,ESVUFR,
 215 ,TW0002731205,27312,雄獅二,上櫃 ,轉換公司債,,2021/12/09,DCZUDR,
 216 ,TW0002732005,2732,六角,上櫃 ,股票,觀光餐旅,2015/01/20,ESVUFR,
 217 ,TW0002732302,27323,六角三,上櫃 ,轉換公司債,,2024/01/26,DCZUDR,
 218 ,TW0002734001,2734,易飛網,上櫃 ,股票,觀光餐旅,2013/12/26,ESVUFR,
 219 ,TW0002736006,2736,富野,上櫃 ,股票,觀光餐旅,2016/01/06,ESVUFR,
 220 ,TW0002740008,2740,天蔥,上櫃 ,股票,觀光餐旅,2015/12/24,ESVUFR,
 221 ,TW0002743002,2743,山富,上櫃 ,股票,觀光餐旅,2020/03/09,ESVUFR,
 222 ,TW0002745007,2745,五福,上櫃 ,股票,觀光餐旅,2018/04/16,ESVUFR,
 223 ,TW0002752003,2752,豆府,上櫃 ,股票,觀光餐旅,2019/09/25,ESVUFR,
 224 ,TW0002754009,2754,亞洲藏壽司,上櫃 ,股票,觀光餐旅,2020/09/17,ESVUFR,
 225 ,TW0002755006,2755,揚秦,上櫃 ,股票,觀光餐旅,2020/12/16,ESVUFR,
 226 ,TW0002756004,2756,聯發國際,上櫃 ,股票,觀光餐旅,2022/01/14,ESVUFR,
 227 ,TW0002756103,27561,聯發國際一,上櫃 ,轉換公司債,,2024/05/30,DCZUDR,
 228 ,TW0002887015,288701,台新金E1,上櫃 ,交換公司債,,2022/04/01,DCZUGR,
 229 ,TW0002888708,28887,新光金六,上櫃 ,轉換公司債,,2023/05/12,DCZUDR,
 230 ,TW0002905106,29051,三商一,上櫃 ,轉換公司債,,2021/01/25,DCZUDR,
 231 ,TW0002906104,29061,高林一,上櫃 ,轉換公司債,,2023/09/20,DCZUDR,
 232 ,TW0002916004,2916,滿心,上櫃 ,股票,居家生活,2005/03/10,ESVUFR,
 233 ,KYG198691092,2924,宏太-KY,上櫃 ,股票,居家生活,2011/12/02,ESVUFR,
 234 ,TW0002926003,2926,誠品生活,上櫃 ,股票,文化創意業,2013/01/30,ESVUFR,
 235 ,TW0002937000,2937,集雅社,上櫃 ,股票,居家生活,2017/06/08,ESVUFR,
